03:41:38:753 [ALWAYS]	GUDE Logging Started
03:41:38:753 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
03:41:38:753 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
03:41:38:753 [ERROR]	Initialize resume cache pointer failure
03:41:38:753 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
03:41:38:753 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
03:41:40:595 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
03:41:40:595 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
03:41:40:595 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
03:41:40:595 [ERROR]	Initialize resume cache pointer failure
03:41:40:595 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
03:41:40:595 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
